Index,Name,Form,Pokemon,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Product (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Product (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Product (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
675,Lotad,,270,♂,149,53,15,12,14,91.1,9.0,9.0,,,,"2026-07-02 17:56",6/26/2025,,,0,0,0,1000,27.50%,2970,93.86%,51000,178,Ludicolo,,0,84.03%,655,96.74%,413000,413,Ludicolo,,0,19.90%,3281,88.42%,107000,102,Lotad,,0,
676,Zamazenta,Shield,889,,3540,150,13,15,14,93.3,30.0,30.0,,,,"2026-07-02 17:56",6/28/2025,,,0,0,0,5000,,,,,,,,,,,,,,,,,,,,,,,,,
677,Zamazenta,Hero,889,,2153,123,14,10,14,84.4,20.0,20.0,,,,"2026-07-02 17:56",6/28/2025,,,0,0,0,2500,,,,,,,,,38.73%,2510,95.41%,17000,16,Zamazenta,Hero,0,,,,,,,,,
678,Pikachu,Normal,25,♂,393,63,15,13,12,88.9,15.0,15.0,,,,"2026-07-02 17:56",6/28/2025,,,0,0,0,1900,23.81%,3121,93.15%,45400,92,Raichu,Normal,0,98.75%,52,97.40%,496400,318,Raichu,Normal,0,51.04%,2006,92.07%,16400,16,Pikachu,Normal,0,
679,Unown,,201,,952,105,11,8,9,62.2,31.0,31.0,,,,"2026-07-02 17:56",6/28/2025,,,0,0,0,6000,73.75%,1076,87.29%,390000,174,Unown,,0,73.75%,1076,87.29%,390000,174,Unown,,0,,,,,,,,,
680,Skarmory,Normal,227,♂,940,92,14,13,10,82.2,16.0,16.0,,,,"2026-07-02 17:56",6/28/2025,,,0,0,0,1900,47.77%,2140,94.93%,52600,47,Skarmory,Normal,0,96.61%,140,95.92%,492600,264,Skarmory,Normal,0,,,,,,,,,
681,Unown,,201,,821,99,9,11,12,71.1,26.0,26.0,,,,"2026-07-02 17:56",6/28/2025,,,0,0,0,4000,87.18%,526,90.19%,436000,214,Unown,,0,87.18%,526,90.19%,436000,214,Unown,,0,,,,,,,,,
682,Tyrunt,,696,♂,587,75,14,15,6,77.8,13.0,13.0,,,,"2026-07-02 17:56",6/28/2025,,,0,1,0,1921,37.41%,2564,94.64%,105600,114,Tyrunt,,2,24.88%,3077,94.94%,105964,163,Tyrantrum,,1,,,,,,,,,
683,Barboach,,339,♂,182,57,14,15,15,97.8,8.0,8.0,,,,"2026-07-02 17:56",6/28/2025,,,0,1,0,961,32.82%,2752,93.85%,3000,48,Whiscash,,2,100.00%,1,100%,402600,258,Whiscash,,2,80.37%,805,94.85%,961,52,Whiscash,,1,
684,Unown,,201,,981,104,15,12,9,80.0,30.0,30.0,,,,"2026-07-02 17:56",6/28/2025,,,0,0,0,5000,95.41%,189,93.28%,400000,182,Unown,,0,95.41%,189,93.28%,400000,182,Unown,,0,,,,,,,,,
685,Unown,,201,,1020,109,11,11,11,73.3,34.0,34.0,,,,"2026-07-02 17:56",6/28/2025,,,0,0,0,7000,88.89%,456,90.68%,352000,134,Unown,,0,88.89%,456,90.68%,352000,134,Unown,,0,,,,,,,,,
686,Regidrago,,895,,1241,213,13,12,12,82.2,15.0,15.0,,,,"2026-07-02 17:56",6/28/2025,,,0,0,0,1900,67.35%,1338,94.97%,12000,12,Regidrago,,0,40.59%,2434,95.34%,96400,86,Regidrago,,0,,,,,,,,,
687,Unown,,201,,756,94,7,15,10,71.1,24.0,24.0,,,,"2026-07-02 17:56",6/28/2025,,,0,0,0,3500,91.89%,333,91.67%,451000,226,Unown,,0,91.89%,333,91.67%,451000,226,Unown,,0,,,,,,,,,
688,Unown,,201,,875,102,11,13,13,82.2,27.0,27.0,,,,"2026-07-02 17:56",6/28/2025,,,0,0,0,4500,96.63%,139,93.99%,428000,206,Unown,,0,96.63%,139,93.99%,428000,206,Unown,,0,,,,,,,,,
689,Venipede,,543,♂,296,58,15,14,11,88.9,15.0,15.0,,,,"2026-07-02 17:56",6/28/2025,,,0,0,0,1900,29.04%,2907,93.85%,29400,152,Scolipede,,0,48.30%,2118,95.45%,299400,393,Scolipede,,0,34.87%,2668,91.76%,1900,27,Whirlipede,,0,
690,Zamazenta,Hero,889,,2141,121,14,11,11,80.0,20.0,20.0,,,,"2026-07-02 17:56",6/28/2025,,,0,0,0,2500,,,,,,,,,30.35%,2853,95.07%,17000,16,Zamazenta,Hero,0,,,,,,,,,
691,Zamazenta,Hero,889,,2118,121,11,10,12,73.3,20.0,20.0,,,,"2026-07-02 17:56",6/28/2025,,,0,0,0,2500,,,,,,,,,80.68%,792,97.13%,20500,19,Zamazenta,Hero,0,,,,,,,,,
692,Torkoal,,324,♂,1177,108,15,14,10,86.7,20.0,20.0,,,,"2026-07-02 17:56",6/28/2025,,,0,0,0,2500,6.91%,3813,91.89%,31000,28,Torkoal,,0,97.92%,86,96.37%,475000,248,Torkoal,,0,,,,,,,,,
693,Torkoal,,324,,1115,108,11,10,12,73.3,19.5,19.5,,,,"2026-07-02 17:56",6/28/2025,,,0,0,0,2500,50.57%,2025,94.57%,41500,36,Torkoal,,0,89.89%,415,93.53%,477500,250,Torkoal,,0,,,,,,,,,
694,Zamazenta,Hero,889,,2158,123,12,15,14,91.1,20.0,20.0,,,,"2026-07-02 17:56",,,,0,0,0,2500,,,,,,,,,69.87%,1235,96.62%,17000,16,Zamazenta,Hero,0,,,,,,,,,
695,Chesnaught,,652,♂,628,78,10,11,4,55.6,8.0,8.0,,,,"2026-07-02 17:56",6/28/2025,,,0,0,0,0,23.37%,3139,93.56%,31400,36,Chesnaught,,0,33.92%,2707,95.39%,141600,134,Chesnaught,,0,,,,,,,,,
696,Skarmory,Normal,227,♂,340,54,15,15,7,82.2,6.0,6.0,,,,"2026-07-02 17:55",6/28/2025,,,0,0,0,600,4.20%,3924,91.98%,72400,74,Skarmory,Normal,0,95.14%,200,95.30%,516400,294,Skarmory,Normal,0,56.58%,1779,92.99%,3600,5,Skarmory,Normal,0,
697,Bergmite,,712,,513,82,15,13,13,91.1,15.0,15.0,,,,"2026-07-02 17:55",6/28/2025,,,0,0,0,1900,71.38%,1173,95.83%,5700,56,Avalugg,Normal,0,50.94%,2010,95.77%,72900,116,Avalugg,Normal,0,,,,,,,,,
698,Bergmite,,712,♂,514,81,15,15,11,91.1,15.0,15.0,,,,"2026-07-02 17:55",6/28/2025,,,0,0,0,1900,71.11%,1184,95.81%,5700,56,Avalugg,Normal,0,54.46%,1866,95.92%,72900,116,Avalugg,Normal,0,,,,,,,,,
699,Pikachu,Normal,25,♂,393,65,13,14,15,93.3,15.0,15.0,,,,"2026-07-02 17:55",,,,0,0,0,1900,52.60%,1942,94.52%,45400,92,Raichu,Normal,0,99.56%,19,98.44%,496400,318,Raichu,Normal,0,77.56%,920,94.03%,16400,16,Pikachu,Normal,0,
700,Florges,,671,♀,1836,120,14,14,15,95.6,20.0,20.0,,,,"2026-07-02 17:55",6/28/2025,,,0,0,0,2500,,,,,,,,,51.94%,1969,95.80%,47000,42,Florges,,0,,,,,,,,,
701,Zamazenta,Hero,889,,2142,123,10,15,14,86.7,20.0,20.0,,,,"2026-07-02 17:55",,,,0,0,0,2500,,,,,,,,,52.01%,1966,95.89%,17000,16,Zamazenta,Hero,0,,,,,,,,,
702,Falinks,Normal,870,,1010,92,15,15,15,100.0,15.0,15.0,,,,"2026-07-02 17:55",6/28/2025,,,0,0,0,1900,47.81%,2138,94.53%,32400,30,Falinks,Normal,0,84.27%,645,96.45%,346400,268,Falinks,Normal,0,,,,,,,,,
703,Gulpin,,316,♀,454,108,12,15,14,91.1,19.0,19.0,,,,"2026-07-02 17:55",6/28/2025,,,0,0,0,2500,58.05%,1719,95.32%,52000,96,Swalot,,0,99.10%,38,97.58%,480000,302,Swalot,,0,32.77%,2754,90.17%,7500,6,Gulpin,,0,
704,Oranguru,,765,♂,1393,131,15,15,13,95.6,20.0,20.0,,,,"2026-07-02 17:55",6/28/2025,,,0,0,0,2500,69.01%,1270,95.70%,8000,7,Oranguru,,0,38.71%,2511,94.91%,256000,248,Oranguru,,0,,,,,,,,,
705,Eevee,,133,♂,14,14,15,14,12,91.1,1.0,1.0,,,,"2026-07-02 17:55",6/28/2025,,,0,0,0,200,83.96%,658,96.65%,31200,69,Vaporeon,,0,62.17%,1550,96.49%,120000,147,Leafeon,,0,87.45%,515,95.74%,3600,35,Flareon,,0,
706,Unown,,201,,439,73,13,4,13,66.7,14.0,14.0,,,,"2026-07-02 17:55",6/29/2025,,,0,0,0,1600,72.23%,1138,87.02%,499600,272,Unown,,0,72.23%,1138,87.02%,499600,272,Unown,,0,9.23%,3718,89.63%,5100,6,Unown,,0,
707,Zacian,Hero,888,,2120,122,10,11,13,75.6,20.0,20.0,,,,"2026-07-02 17:55",,,,0,0,0,2500,,,,,,,,,81.49%,759,97.15%,20500,19,Zacian,Hero,0,,,,,,,,,
708,Zacian,Hero,888,,2157,120,15,14,10,86.7,20.0,20.0,,,,"2026-07-02 17:55",6/29/2025,,,0,0,0,2500,,,,,,,,,49.99%,2049,95.84%,17000,16,Zacian,Hero,0,,,,,,,,,
709,Machamp,,68,♂,1595,120,14,15,0,64.4,19.0,19.0,,,,"2026-07-02 17:55",,,,0,0,0,2500,,,,,,,,,15.87%,3446,94.33%,75000,66,Machamp,,0,,,,,,,,,
710,Zacian,Hero,888,,2636,134,10,12,10,71.1,25.0,25.0,,,,"2026-07-02 17:55",,,,0,0,0,4000,,,,,,,,,,,,,,,,,,,,,,,,,
711,Swinub,,220,,32,25,13,15,14,93.3,2.0,2.0,,,,"2026-07-02 17:55",6/29/2025,,,0,0,0,200,68.99%,1271,95.89%,58600,92,Piloswine,,0,94.58%,223,97.90%,407600,327,Piloswine,,0,93.72%,258,96.84%,2600,132,Mamoswine,,0,
712,Zacian,Hero,888,,2688,137,11,15,14,88.9,25.0,25.0,,,,"2026-07-02 17:55",6/29/2025,,,0,0,0,4000,,,,,,,,,,,,,,,,,,,,,,,,,
713,Zacian,Hero,888,,2648,136,11,10,12,73.3,25.0,25.0,,,,"2026-07-02 17:55",6/29/2025,,,0,0,0,4000,,,,,,,,,,,,,,,,,,,,,,,,,
714,Zacian,Hero,888,,2670,134,14,11,10,77.8,25.0,25.0,,,,"2026-07-02 17:55",6/29/2025,,,0,0,0,4000,,,,,,,,,,,,,,,,,,,,,,,,,
715,Zacian,Hero,888,,2168,122,15,13,13,91.1,20.0,20.0,,,,"2026-07-02 17:55",6/29/2025,,,0,0,0,2500,,,,,,,,,76.87%,948,96.93%,17000,16,Zacian,Hero,0,,,,,,,,,
716,Chesnaught,,652,♀,658,80,15,15,10,88.9,8.0,8.0,,,,"2026-07-02 17:55",6/29/2025,,,0,0,0,0,6.59%,3826,92.29%,27000,32,Chesnaught,,0,6.13%,3845,93.90%,108600,104,Chesnaught,,0,,,,,,,,,
717,Zacian,Hero,888,,2672,137,11,12,14,82.2,25.0,25.0,,,,"2026-07-02 17:55",,,,0,0,0,4000,,,,,,,,,,,,,,,,,,,,,,,,,
718,Spheal,,363,♂,70,40,13,15,14,93.3,3.0,3.0,,,,"2026-07-02 17:54",,,,0,0,0,400,88.60%,468,97.21%,41700,175,Walrein,,0,61.20%,1590,96.24%,181200,307,Walrein,,0,59.05%,1678,93.12%,37000,46,Spheal,,0,
719,Zacian,Hero,888,,2668,138,10,12,15,82.2,25.0,25.0,,,,"2026-07-02 17:54",6/29/2025,,,0,0,0,4000,,,,,,,,,,,,,,,,,,,,,,,,,
720,Florges,,671,,917,83,15,15,12,93.3,10.0,10.0,,,,"2026-07-02 17:54",,,,0,0,0,1000,17.61%,3375,92.97%,17400,22,Florges,,0,37.39%,2565,95.21%,82000,80,Florges,,0,,,,,,,,,
721,Corsola,Galar,222,♀,641,87,15,15,15,100.0,15.0,15.0,,,,"2026-07-02 17:54",6/30/2025,,,0,0,0,1900,74.99%,1025,96.16%,7600,58,Cursola,,0,81.39%,763,97.30%,81900,124,Cursola,,0,,,,,,,,,
722,Pachirisu,,417,♀,601,95,5,9,5,42.2,20.0,20.0,,,,"2026-07-02 17:54",,,,0,0,0,2500,31.84%,2792,82.96%,475000,248,Pachirisu,,0,31.84%,2792,82.96%,475000,248,Pachirisu,,0,,,,,,,,,
723,Shuckle,,213,♂,200,59,11,12,14,82.2,20.0,20.0,,,,"2026-07-02 17:54",6/30/2025,,,0,0,0,2500,87.18%,526,85.83%,475000,248,Shuckle,,0,87.18%,526,85.83%,475000,248,Shuckle,,0,87.18%,526,85.83%,475000,248,Shuckle,,0,
724,Falinks,Normal,870,,1335,105,15,13,14,93.3,20.0,20.0,,,,"2026-07-02 17:54",6/30/2025,,,0,0,0,2500,12.89%,3568,92.67%,11000,10,Falinks,Normal,0,78.07%,899,96.00%,337000,248,Falinks,Normal,0,,,,,,,,,
725,Ninetales,Alola,38,♀,2002,141,15,13,15,95.6,31.0,31.0,,,,"2026-07-02 17:54",,,,1,0,0,3000,,,,,,,,,88.69%,464,96.78%,145500,174,Ninetales,Alola,0,,,,,,,,,
726,Magmortar,,467,♂,1780,117,15,13,15,95.6,20.0,20.0,,,,"2026-07-02 17:54",10/3/2017,,,1,0,0,1250,,,,,,,,,67.69%,1324,96.41%,28000,50,Magmortar,,0,,,,,,,,,
727,Monferno,,391,♂,1361,131,13,12,15,88.9,32.0,32.0,,,,"2026-07-02 17:54",,,,1,0,0,0,48.01%,2130,94.66%,45000,108,Monferno,,0,45.57%,2230,95.73%,28000,164,Infernape,,0,,,,,,,,,
728,Carvanha,,318,♂,217,50,15,12,7,75.6,8.0,8.0,,,,"2026-07-02 17:54",,,,0,1,0,961,70.53%,1208,95.30%,83526,154,Sharpedo,Normal,1,97.70%,95,95.83%,402600,258,Sharpedo,Normal,2,56.02%,1802,92.10%,35046,54,Carvanha,,1,
729,Terrakion,,639,,2080,133,12,14,14,88.9,20.0,20.0,,,,"2026-07-02 17:54",,,,1,0,0,1250,,,,,,,,,86.37%,559,97.26%,12000,22,Terrakion,,0,,,,,,,,,
730,Charizard,Normal,6,♂,1045,94,13,12,11,80.0,13.0,13.0,,,,"2026-07-02 17:54",,,,0,1,0,0,65.27%,1423,95.42%,24724,33,Charizard,Normal,1,56.09%,1799,96.09%,51600,49,Charizard,Normal,2,,,,,,,,,
731,Pikachu,Normal,25,♂,540,72,14,14,8,80.0,21.0,21.0,,,,"2026-07-02 17:54",7/1/2025,,,0,0,0,3000,29.74%,2878,93.47%,22500,71,Raichu,Normal,0,93.80%,255,94.74%,470000,294,Raichu,Normal,0,,,,,,,,,
732,Gimmighoul,Roaming,999,,400,68,12,15,14,91.1,13.0,13.0,,,,"2026-07-02 17:54",,,,0,0,0,1600,79.10%,857,96.48%,6400,8,Gholdengo,,0,75.36%,1010,96.81%,58800,56,Gholdengo,,0,66.03%,1392,93.57%,10200,12,Gimmighoul,Roaming,0,
733,Slakoth,,287,♂,224,63,15,14,15,97.8,8.0,8.0,,,,"2026-07-02 17:54",7/3/2025,,,0,1,0,961,43.61%,2310,94.64%,13800,35,Vigoroth,,2,46.03%,2211,95.52%,43326,188,Slaking,,1,65.81%,1401,93.30%,32406,51,Slakoth,,1,
734,Mareep,,179,♂,212,58,15,8,11,75.6,8.0,8.0,,,,"2026-07-02 17:54",,,,0,1,0,961,32.63%,2760,93.42%,366726,409,Flaaffy,,1,26.76%,3000,95.34%,177126,319,Ampharos,Normal,1,35.92%,2625,90.82%,37686,57,Mareep,,1,
735,Cinderace,,815,♂,2141,136,14,14,15,95.6,25.0,25.0,,,,"2026-07-02 17:54",,,,0,0,0,4000,,,,,,,,,56.90%,1766,96.26%,34000,30,Cinderace,,0,,,,,,,,,
736,Binacle,,688,♀,401,69,15,15,12,93.3,15.0,15.0,,,,"2026-07-02 17:54",,,,0,0,0,1900,27.13%,2985,94.00%,18900,68,Barbaracle,,0,26.64%,3005,94.87%,166400,210,Barbaracle,,0,32.58%,2762,90.80%,14200,14,Binacle,,0,
737,Sylveon,,700,♀,2357,160,14,15,15,97.8,27.0,27.0,,,,"2026-07-02 17:54",7/5/2025,,,0,0,0,4500,,,,,,,,,50.01%,2048,95.89%,13500,12,Sylveon,,0,,,,,,,,,
738,Eevee,,133,♂,236,59,14,14,12,88.9,8.0,8.0,,,,"2026-07-02 17:54",7/5/2025,,,0,0,0,800,84.35%,642,96.53%,24800,55,Glaceon,,0,77.73%,913,96.87%,94600,117,Espeon,,0,35.21%,2654,91.49%,22900,28,Eevee,,0,
739,Umbreon,,197,,912,119,15,14,14,95.6,15.0,15.0,,,,"2026-07-02 17:54",7/5/2025,,,0,0,0,1900,37.00%,2581,93.75%,48900,45,Umbreon,,0,99.88%,6,99.09%,496400,268,Umbreon,,0,,,,,,,,,
740,Gimmighoul,Roaming,999,,904,102,15,13,15,95.6,29.0,29.0,,,,"2026-07-02 17:54",7/5/2025,,,0,0,0,5000,99.73%,12,97.80%,410000,190,Gimmighoul,Roaming,0,99.73%,12,97.80%,410000,190,Gimmighoul,Roaming,0,,,,,,,,,
741,Leafeon,,470,♂,2509,128,15,15,13,95.6,30.0,30.0,,,,"2026-07-02 17:54",7/6/2025,,,0,0,0,5000,,,,,,,,,,,,,,,,,,,,,,,,,
742,Flareon,,136,♂,1369,94,15,13,13,91.1,16.0,16.0,,,,"2026-07-02 17:53",7/6/2025,,,0,0,0,1900,86.20%,566,96.38%,6000,6,Flareon,,0,40.24%,2448,95.64%,82600,74,Flareon,,0,,,,,,,,,
743,Eevee,,133,♂,203,54,14,14,10,84.4,7.0,7.0,,,,"2026-07-02 17:53",7/6/2025,,,0,0,0,800,76.58%,960,95.83%,33000,63,Jolteon,,0,62.03%,1556,96.22%,100700,123,Glaceon,,0,21.42%,3219,90.41%,24500,30,Eevee,,0,
744,Electrode,Hisui,101,,1225,101,15,14,15,97.8,20.0,20.0,,,,"2026-07-02 17:53",,,,0,0,0,2500,78.17%,895,96.32%,27500,25,Electrode,Hisui,0,99.95%,3,99.48%,475000,248,Electrode,Hisui,0,,,,,,,,,
745,Horsea,,116,,225,43,15,4,14,73.3,8.0,8.0,,,,"2026-07-02 17:53",7/7/2025,,,0,1,0,961,38.53%,2518,94.19%,93126,137,Seadra,,1,31.38%,2811,95.05%,135300,264,Kingdra,,2,40.15%,2452,91.16%,961,27,Seadra,,1,
746,Vaporeon,,134,,1331,151,15,14,15,97.8,15.0,15.0,,,,"2026-07-02 17:53",,,,0,0,0,1900,18.88%,3323,93.21%,5700,6,Vaporeon,,0,46.52%,2191,95.52%,77400,70,Vaporeon,,0,,,,,,,,,
747,Jolteon,,135,,1231,92,15,13,15,95.6,15.0,15.0,,,,"2026-07-02 17:53",7/7/2025,,,0,0,0,1900,40.02%,2457,94.08%,12000,12,Jolteon,,0,40.37%,2443,95.19%,101400,90,Jolteon,,0,,,,,,,,,
748,Larvitar,,246,♂,587,89,15,14,13,93.3,20.0,20.0,,,,"2026-07-02 17:53",,,,0,0,0,2500,55.53%,1822,95.52%,75000,91,Pupitar,,0,11.21%,3637,94.00%,14000,138,Tyranitar,Normal,0,,,,,,,,,
749,Amaura,,698,♂,490,95,15,8,14,82.2,13.0,13.0,,,,"2026-07-02 17:53",7/8/2025,,,0,1,0,1921,96.14%,159,97.05%,375600,213,Amaura,,2,21.90%,3199,94.51%,172564,230,Aurorus,,1,23.27%,3143,90.66%,0,0,Amaura,,1,
750,Avalugg,Hisui,713,♂,1460,117,15,11,12,84.4,15.0,15.0,,,,"2026-07-02 17:53",7/8/2025,,,0,0,0,1900,6.37%,3835,92.19%,0,0,Avalugg,Hisui,0,33.28%,2733,95.05%,56400,51,Avalugg,Hisui,0,,,,,,,,,
751,Spinda,,327,♂,503,85,14,11,10,77.8,15.0,15.0,,,,"2026-07-02 17:53",7/9/2025,,,0,0,0,1900,94.21%,238,93.50%,496400,268,Spinda,,0,94.21%,238,93.50%,496400,268,Spinda,,0,,,,,,,,,
752,Zapdos,Galar,145,,1912,129,13,15,15,95.6,19.0,19.0,,,,"2026-07-02 17:53",7/12/2025,,,0,0,0,2500,,,,,,,,,45.35%,2239,95.43%,32500,29,Zapdos,Galar,0,,,,,,,,,
753,Vaporeon,,134,♂,1324,149,15,14,12,91.1,15.0,15.0,,,,"2026-07-02 17:53",7/12/2025,,,0,0,0,1900,83.96%,658,96.65%,7600,8,Vaporeon,,0,26.45%,3013,94.60%,77400,70,Vaporeon,,0,,,,,,,,,
754,Feebas,,349,♀,102,51,10,12,14,80.0,15.0,15.0,,,,"2026-07-02 17:53",7/12/2025,,,0,0,0,1900,87.28%,522,96.90%,12000,112,Milotic,,0,69.60%,1246,96.89%,96400,186,Milotic,,0,90.94%,372,84.95%,496400,268,Feebas,,0,
755,Lilligant,Hisui,549,♀,1778,124,13,15,15,95.6,25.0,25.0,,,,"2026-07-02 17:53",7/17/7075,,,0,0,0,4000,,,,,,,,,62.15%,1551,96.51%,194000,220,Lilligant,Hisui,0,,,,,,,,,
756,Arcanine,Hisui,59,♀,1322,117,14,12,12,84.4,15.0,15.0,,,,"2026-07-02 17:53",7/13/2025,,,0,0,0,1900,81.56%,756,96.71%,7600,8,Arcanine,Hisui,0,29.72%,2879,95.36%,77400,70,Arcanine,Hisui,0,,,,,,,,,
757,Petilil,,548,♀,436,73,14,14,15,95.6,15.0,15.0,,,,"2026-07-02 17:53",7/13/2025,,,0,0,0,1900,66.40%,1377,95.32%,23900,72,Lilligant,Normal,0,63.69%,1488,96.57%,226400,288,Lilligant,Normal,0,50.70%,2020,92.32%,7600,8,Petilil,,0,
758,Grubbin,,736,♂,480,81,12,12,11,77.8,18.0,18.0,,,,"2026-07-02 17:53",7/14/2025,,,0,0,0,2200,32.21%,2777,94.30%,132400,147,Charjabug,,0,31.48%,2807,95.22%,69900,187,Vikavolt,,0,51.28%,1996,92.59%,2200,2,Grubbin,,0,
759,Taillow,,276,,278,63,14,15,12,91.1,13.0,13.0,,,,"2026-07-02 17:53",7/14/2025,,,0,1,0,1921,43.32%,2322,94.57%,95164,153,Swellow,,1,100.00%,1,100%,402600,258,Swellow,,2,46.32%,2199,91.70%,53764,64,Taillow,,1,
760,Krabby,,98,♂,1332,84,15,15,14,97.8,30.0,30.0,,,,"2026-07-02 17:53",7/15/2025,,,0,0,0,5000,80.51%,799,96.29%,103000,116,Krabby,,0,81.93%,741,97.30%,22000,70,Kingler,,0,,,,,,,,,
761,Finneon,,456,,783,106,14,12,13,86.7,29.0,29.0,,,,"2026-07-02 17:52",7/15/2025,,,0,0,0,5000,40.51%,2437,94.57%,5000,54,Lumineon,,0,98.29%,71,96.49%,410000,240,Lumineon,,0,,,,,,,,,
762,Wailmer,,320,♀,795,173,10,12,14,80.0,20.0,20.0,,,,"2026-07-02 17:52",,,,0,0,0,2500,86.03%,573,96.46%,24000,422,Wailord,,0,93.06%,285,97.27%,475000,648,Wailord,,0,,,,,,,,,
763,Volcanion,,721,,1505,105,10,10,14,75.6,15.0,15.0,,,,"2026-07-02 17:52",,,,0,0,0,0,,,,,,,,,32.97%,2746,94.90%,48900,45,Volcanion,,0,,,,,,,,,
764,Passimian,,766,♂,1284,122,15,13,12,88.9,15.0,15.0,,,,"2026-07-02 17:52",7/15/2025,,,0,0,0,1900,78.83%,868,96.19%,9800,10,Passimian,,0,33.92%,2707,95.37%,86400,78,Passimian,,0,,,,,,,,,
765,Crabrawler,,739,♂,773,86,15,15,13,95.6,20.0,20.0,,,,"2026-07-02 17:52",7/17/7075,,,0,0,0,2500,98.32%,70,98.20%,417000,248,Crabrawler,,0,38.27%,2529,95.67%,75000,116,Crabominable,,0,,,,,,,,,
766,Decidueye,Normal,724,♀,1665,119,11,15,4,66.7,22.0,22.0,,,,"2026-07-02 17:52",,,,0,0,0,3000,,,,,,,,,48.03%,2129,96.05%,142000,140,Decidueye,Normal,0,,,,,,,,,
767,Quaquaval,,914,♂,3078,169,15,14,14,95.6,42.0,42.0,,,,"2026-07-02 17:52",,,,0,0,0,11000,,,,,,,,,,,,,,,,,,,,,,,,,
768,Cherubi,,420,♂,396,71,14,15,10,86.7,15.0,15.0,,,,"2026-07-02 17:52",7/20/2025,,,0,0,0,1900,46.86%,2177,94.78%,60400,104,Cherrim,,0,98.00%,83,96.29%,496400,318,Cherrim,,0,25.03%,3071,90.37%,14200,14,Cherubi,,0,
769,Wimpod,,767,♂,213,55,15,14,14,95.6,15.0,15.0,,,,"2026-07-02 17:52",7/20/2025,,,0,0,0,1900,51.40%,1991,95.06%,5700,406,Golisopod,,0,33.04%,2743,94.99%,72900,466,Golisopod,,0,84.64%,630,93.31%,256400,268,Wimpod,,0,
770,Piloswine,,221,♀,1653,157,14,15,11,88.9,25.0,25.0,,,,"2026-07-02 17:52",,,,0,1,0,4800,,,,,,,,,85.10%,611,96.90%,398400,280,Piloswine,,1,,,,,,,,,
771,Wailmer,,320,♀,838,174,15,15,15,100.0,20.0,20.0,,,,"2026-07-02 17:52",7/20/2025,,,0,0,0,2500,75.90%,988,95.74%,17000,416,Wailord,,0,95.19%,198,97.64%,389000,648,Wailord,,0,,,,,,,,,
772,Gible,,443,♂,401,79,13,12,15,88.9,13.0,13.0,,,,"2026-07-02 17:52",,,,0,1,0,1921,63.49%,1496,95.44%,105964,138,Gabite,,1,32.72%,2756,94.94%,46564,181,Garchomp,Normal,1,50.89%,2012,92.91%,12244,18,Gible,,1,
773,Chatot,,441,♀,1126,128,14,0,13,60.0,24.0,24.0,,,,"2026-07-02 17:52",,,,0,0,0,3500,3.05%,3971,91.79%,92000,84,Chatot,,0,39.71%,2470,84.39%,451000,226,Chatot,,0,,,,,,,,,
774,Granbull,,210,♀,1140,115,14,13,10,82.2,16.0,16.0,,,,"2026-07-02 17:52",7/20/2025,,,0,0,0,1900,67.79%,1320,95.31%,22600,20,Granbull,,0,48.13%,2125,95.55%,242600,264,Granbull,,0,,,,,,,,,
775,Cherubi,,420,♂,465,79,11,14,12,82.2,18.0,18.0,,,,"2026-07-02 17:52",7/21/2025,,,0,0,0,2200,84.30%,644,96.76%,52400,96,Cherrim,,0,96.56%,142,95.40%,484400,306,Cherrim,,0,46.98%,2172,91.95%,4400,4,Cherubi,,0,
776,Pineco,,204,♂,222,52,8,10,4,48.9,8.0,8.0,,,,"2026-07-02 17:52",7/22/2025,,,0,1,0,961,23.69%,3126,93.65%,79326,150,Forretress,,1,75.56%,1002,94.98%,404600,260,Forretress,,2,40.81%,2425,91.25%,32406,51,Pineco,,1,
777,Floragato,,907,♂,428,67,15,15,14,97.8,9.0,9.0,,,,"2026-07-02 17:52",4/17/2025,,,0,0,0,1000,78.75%,871,96.24%,29800,134,Meowscarada,,0,68.21%,1303,96.68%,134000,226,Meowscarada,,0,7.91%,3772,88.47%,2000,2,Floragato,,0,
778,Decidueye,Normal,724,♂,1817,122,14,13,1,62.2,24.0,24.0,,,,"2026-07-02 17:52",,,,0,0,0,3500,,,,,,,,,22.56%,3172,95.02%,129000,128,Decidueye,Normal,0,,,,,,,,,
779,Nidoqueen,,31,♀,1433,127,14,14,1,64.4,21.0,21.0,,,,"2026-07-02 17:51",,,,0,0,0,3000,2.25%,4004,91.62%,3000,3,Nidoqueen,,0,28.16%,2943,94.79%,296000,244,Nidoqueen,,0,,,,,,,,,
